title,price,company,moq,rating,nop,image,link,scrapedAt
Custom Eco-Friendly Christmas Gift Paperboard Box Matte Finish with UV Advantage for Chocolate Package Features Our Logo Sticker,0.90-5.00,"Xiamen Johnson Industry & Trade Co., Ltd.",Min. order: 100 pieces,4.7,10 sold,https://s.alicdn.com/@sc04/kf/Hfbf140c86f85479486b633ccc209675cP.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Custom-Eco-Friendly-Christmas-Gift-Paperboard_1601225857369.html,2025-02-19T09:25:49.922Z
Custom Clear Pvc Window Gift Packaging Paper Boxes Cookies Chocolate Cupcake Bakery Cake Box With Window,0.12-0.20,"Shandong Best Package Co., Ltd.","Min. order: 1,000 pieces",5.0,nil,https://s.alicdn.com/@sc04/kf/Ha5f53ac26fe546d794e2a5edfc6db64cu.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Custom-Clear-Pvc-Window-Gift-Packaging_1601194442304.html,2025-02-19T09:25:50.110Z
Custom Transparent Plastic Macaron & Chocolate Pastry Boxes Blister Insert Cookie Packaging Gift Display Container for Food Use,0.17,"Zhejiang Qunlu New Material Co., Ltd.","Min. order: 250,000 sets",nil,11 sold,https://s.alicdn.com/@sc04/kf/He4c65fdfdf2e482eb3179412d7595c02d.png_300x300.png,https://www.alibaba.com/product-detail/Custom-Transparent-Plastic-Macaron-Chocolate-Pastry_1601180704961.html,2025-02-19T09:25:50.327Z
House Shaped Tinplate Metal Christmas Gift Boxes for Biscuit Chocolate & Candy Packing for Chewing Gum Food Packaging,0.72,"Dongguan City Yicheng Hardware Co., Ltd.","Min. order: 1,000 pieces",nil,nil,https://s.alicdn.com/@sc04/kf/S35fe482df40e48079d81d58b54c92950l.png_300x300.png,https://www.alibaba.com/product-detail/House-Shaped-Tinplate-Metal-Christmas-Gift_1600552317032.html,2025-02-19T09:25:50.506Z
Luxury Custom Macarons Truffle Chocolate Candy Package Gift Box Packaging With Dividers Insert,0.50,"Guangzhou Baotu Paper Packaging Products Co., Ltd",Min. order: 500 pieces,5.0,200 sold,https://s.alicdn.com/@sc04/kf/Had41ac34148a4415ba4731e1a1b6d6ccx.png_300x300.png,https://www.alibaba.com/product-detail/Luxury-Custom-Macarons-Truffle-Chocolate-Candy_1601249315730.html,2025-02-19T09:25:50.864Z
3.5 Inches Gold Clear Individual Cupcake Carrier Boxes for Valentine's Day Chocolates and Wedding Party Candy Favor,0.22,"Yiwu Yinqiu Trading Co., Ltd.",Min. order: 120 pieces,4.8,120 sold,https://s.alicdn.com/@sc04/kf/H9cc9fec2c0fb4592bde97005925962996.jpg_300x300.jpg,https://www.alibaba.com/product-detail/3-5-Inches-Gold-Clear-Individual_1600293291361.html,2025-02-19T09:25:51.062Z
Bestyle Custom Food Grade Plastic Tray Insert Luxury Packaging Logo Foil Hot Stamping Chocolate Paper Box,1.20,Shenzhen Bestyle Printing And Packaging Limited,Min. order: 500 pieces,5.0,"24,031 sold",https://s.alicdn.com/@sc04/kf/Hb420e6721dbe4126bed404552837eb75z.png_300x300.png,https://www.alibaba.com/product-detail/Bestyle-Custom-Food-Grade-Plastic-Tray_1600990859404.html?s=p,2025-02-19T09:25:51.230Z
Environmental Custom Romantic Chocolates Cake Gift Empty Paper Cardboard Packaging Heart Shaped Candy,0.75-1.16,"Dongguan Baodana Packaging Technology Co., Ltd.",Min. order: 500 pieces,nil,nil,https://s.alicdn.com/@sc04/kf/H06a0c71410e540428c23b8873c5ce86dt.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Environmental-Custom-Romantic-Chocolates-Cake-Gift_62530713807.html,2025-02-19T09:25:51.391Z
Wholesale Luxury Custom Chocolate Packaging Box 2 Layer Book Shape Drawer Rigid Magnetic Chocolate Gift,1.00,Shenzhen Bestyle Printing And Packaging Limited,Min. order: 500 pieces,5.0,632 sold,https://s.alicdn.com/@sc04/kf/Hb511856f3a4543d382b7f4f85257daf3L.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Wholesale-Luxury-Custom-Chocolate-Packaging-Box_1600989950158.html?s=p,2025-02-19T09:25:51.538Z
Custom Logo Printing Eco Friendly Coated Paper Chocolate Packaging Gift Box Magnetic Closure Candy with Dividers,0.50-1.50,"Dongguan Stars Packaging Co., Ltd.","Min. order: 1,000 pieces",5.0,nil,https://s.alicdn.com/@sc04/kf/H319886b64de7470484b6f0d5195d0689t.jpg_300x300.jpg,https://www.alibaba.com/product-detail/Custom-Logo-Printing-Eco-Friendly-Coated_1601248553296.html,2025-02-19T09:25:51.694Z
